Date, RH_Min, RH_Value, RH_Status, Temp_Max, Temp_Value, Temp_Status
 2018-10-17 02:50:03.425481, 25, 53.1, Not Running, 105, 65.66, Not Running
 2018-10-17 02:52:03.506375, 25, 53.1, Not Running, 105, 65.66, Not Running
 2018-10-17 02:54:03.426707, 25, 52.9, Not Running, 105, 65.48, Not Running
 2018-10-17 02:56:03.391283, 25, 53.0, Not Running, 105, 65.48, Not Running
 2018-10-17 02:58:03.458803, 25, 53.0, Not Running, 105, 65.48, Not Running
 2018-10-17 03:00:03.385449, 25, 53.1, Not Running, 105, 65.48, Not Running
 2018-10-17 03:02:03.446916, 25, 53.1, Not Running, 105, 65.48, Not Running
 2018-10-17 03:04:03.461095, 25, 53.1, Not Running, 105, 65.48, Not Running
 2018-10-17 03:06:03.410423, 25, 53.1, Not Running, 105, 65.48, Not Running
 2018-10-17 03:08:03.510710, 25, 53.1, Not Running, 105, 65.48, Not Running
 2018-10-17 03:10:03.474098, 25, 53.1, Not Running, 105, 65.48, Not Running
 2018-10-17 03:12:03.386969, 25, 53.1, Not Running, 105, 65.48, Not Running
 2018-10-17 03:14:03.439014, 25, 53.1, Not Running, 105, 65.48, Not Running
 2018-10-17 03:16:03.457658, 25, 53.1, Not Running, 105, 65.48, Not Running
 2018-10-17 03:18:03.469977, 25, 53.0, Not Running, 105, 65.48, Not Running
 2018-10-17 03:20:03.401351, 25, 53.1, Not Running, 105, 65.48, Not Running
 2018-10-17 03:22:03.432233, 25, 53.1, Not Running, 105, 65.48, Not Running
 2018-10-17 03:24:03.502958, 25, 53.1, Not Running, 105, 65.48, Not Running
 2018-10-17 03:26:03.415068, 25, 52.9, Not Running, 105, 65.3, Not Running
 2018-10-17 03:28:03.411619, 25, 53.0, Not Running, 105, 65.3, Not Running
 2018-10-17 03:30:03.480444, 25, 53.1, Not Running, 105, 65.3, Not Running
 2018-10-17 03:32:03.397646, 25, 53.2, Not Running, 105, 65.3, Not Running
 2018-10-17 03:34:03.453100, 25, 53.2, Not Running, 105, 65.3, Not Running
 2018-10-17 03:36:03.364832, 25, 53.2, Not Running, 105, 65.3, Not Running
 2018-10-17 03:38:03.482668, 25, 53.2, Not Running, 105, 65.3, Not Running
 2018-10-17 03:40:03.462405, 25, 53.2, Not Running, 105, 65.3, Not Running
 2018-10-17 03:42:03.374183, 25, 53.2, Not Running, 105, 65.3, Not Running
 2018-10-17 03:44:03.425539, 25, 53.2, Not Running, 105, 65.3, Not Running
 2018-10-17 03:46:03.512295, 25, 53.2, Not Running, 105, 65.3, Not Running
 2018-10-17 03:48:03.423515, 25, 53.2, Not Running, 105, 65.3, Not Running
 2018-10-17 03:50:03.435215, 25, 53.2, Not Running, 105, 65.3, Not Running
 2018-10-17 03:52:03.505676, 25, 53.3, Not Running, 105, 65.3, Not Running
 2018-10-17 03:54:03.436773, 25, 53.1, Not Running, 105, 65.12, Not Running
 2018-10-17 03:56:03.378013, 25, 53.1, Not Running, 105, 65.12, Not Running
 2018-10-17 03:58:03.370798, 25, 53.1, Not Running, 105, 65.12, Not Running
 2018-10-17 04:00:03.373376, 25, 53.1, Not Running, 105, 65.12, Not Running
 2018-10-17 04:02:03.385922, 25, 53.2, Not Running, 105, 65.12, Not Running
 2018-10-17 04:04:03.428710, 25, 53.2, Not Running, 105, 65.12, Not Running
 2018-10-17 04:06:03.431789, 25, 53.1, Not Running, 105, 65.12, Not Running
 2018-10-17 04:08:03.437674, 25, 53.1, Not Running, 105, 65.12, Not Running
 2018-10-17 04:10:03.542156, 25, 53.1, Not Running, 105, 65.12, Not Running
 2018-10-17 04:12:03.508970, 25, 53.1, Not Running, 105, 65.12, Not Running
